timezone,videoId,channelId,channelTitle,title,commentCount,viewCount,likeCount,dislikeCount,date,cln_title
2021-06-06T10:26:16Z,6oeLAo6DFHI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#4】DQシリーズ完全初見！ドラゴンクエスト8！！！【ホロライブ/大空スバル】※ネタバレあり,141,415098,14546,121,2021-06-06,【 # 4 】 DQ シリーズ 完全 初 見 ! ドラゴン クエスト 8 !!!【 ホロライブ / 大空 スバル 】 ※ ネタ バレ あり
2021-06-05T09:08:49Z,bIhIq8f5gjM,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#3】DQシリーズ完全初見！ドラゴンクエスト8！！！【ホロライブ/大空スバル】※ネタバレあり,141,361443,11798,123,2021-06-05,【 # 3 】 DQ シリーズ 完全 初 見 ! ドラゴン クエスト 8 !!!【 ホロライブ / 大空 スバル 】 ※ ネタ バレ あり
2021-06-05T03:09:51Z,YFXr_KJapHI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはスバ/Free Talk【ホロライブ/大空スバル】,79,227570,12961,53,2021-06-05,【 # 生 スバル 】 お は スバ / Free   Talk 【 ホロライブ / 大空 スバル 】
2021-06-04T12:08:51Z,8uB_hqKNF5k,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】びっくり系ホラゲー/Horror game【ホロライブ/大空スバル】,82,178707,11087,36,2021-06-04,【 # 生 スバル 】 びっくり 系 ホラゲー / Horror   game 【 ホロライブ / 大空 スバル 】
2021-06-03T12:08:24Z,0y3CkFyPcW4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#スバちょこルーナ】地獄くじ引き？！足つぼダンス？！？かかってこいや！！！！:subachocoruna 3D stream【ホロライブ】,531,627632,36964,133,2021-06-03,【 # スバ ちょこ ルーナ 】 地獄 くじ引き ?! 足 つ ぼ ダンス ?!? かかっ て こい や !!!!: subachocoruna   3 D   stream 【 ホロライブ 】
2021-06-01T15:12:12Z,m9IQH5WIGuQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】ハリーポッター賢者の石同時視聴会：Harry Potter and the Philosopher&#39;s Stone movie party!【ホロライブ/大空スバル】,106,178754,11314,42,2021-06-01,【 # 生 スバル 】 ハリーポッター 賢者 の 石 同時 視聴 会 : Harry   Potter   and   the   Philosopher &# 39 ; s   Stone   movie   party !【 ホロライブ / 大空 スバル 】
2021-05-30T09:55:31Z,Ov6KR0htGYA,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#2】DQシリーズ完全初見！ドラゴンクエスト8！！！【ホロライブ/大空スバル】※ネタバレあり,155,448878,14322,126,2021-05-30,【 # 2 】 DQ シリーズ 完全 初 見 ! ドラゴン クエスト 8 !!!【 ホロライブ / 大空 スバル 】 ※ ネタ バレ あり
2021-05-29T08:21:32Z,r1Saj9-GHhg,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#１】DQシリーズ完全初見！ドラゴンクエスト8！！！【ホロライブ/大空スバル】※ネタバレあり,293,518279,17293,172,2021-05-29,【 # 1 】 DQ シリーズ 完全 初 見 ! ドラゴン クエスト 8 !!!【 ホロライブ / 大空 スバル 】 ※ ネタ バレ あり
2021-05-29T02:46:29Z,u0GBcKzkZcs,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはスバ/Free Talk【ホロライブ/大空スバル】,176,284622,17219,54,2021-05-29,【 # 生 スバル 】 お は スバ / Free   Talk 【 ホロライブ / 大空 スバル 】
2021-05-28T12:18:43Z,kdI0vBpWFkQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#ポントーク】ギリギリ！！！PONトーク！！！！！！/PON TALK【ホロライブ/みこスバ】,206,452358,23559,78,2021-05-28,【 # ポントーク 】 ギリギリ !!! PON トーク !!!!!!/ PON   TALK 【 ホロライブ / みこ スバ 】
2021-05-26T13:08:54Z,ByESAQZnQXk,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#大空スバル新衣装】90万人記念新衣装大発表会/NEW OUT FIT【ホロライブ/大空スバル】,1853,937067,72546,264,2021-05-26,【 # 大空 スバル 新 衣装 】 90 万 人 記念 新 衣装 大 発表 会 / NEW   OUT   FIT 【 ホロライブ / 大空 スバル 】
2021-05-24T16:26:10Z,Oj1dunXOn3g,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#最終回】バイオハザードヴィレッジ：Resident Evil Village【ホロライブ/大空スバル】,130,293169,15175,169,2021-05-24,【 # 最終 回 】 バイオハザードヴィレッジ : Resident   Evil   Village 【 ホロライブ / 大空 スバル 】
2021-05-24T12:08:18Z,5jyLefFYPyM,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】こっちが本当！第十回ソーセージレジェンド大会！！！：sausage legend【レート：1000↑】,124,211848,11109,51,2021-05-24,【 # 生 スバル 】 こっち が 本当 ! 第 十 回 ソーセージレジェンド 大会 !!!: sausage   legend 【 レート : 1000 ↑ 】
2021-05-23T10:58:41Z,PuvM9PNM8vI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#2】バイオハザードヴィレッジ：Resident Evil Village【ホロライブ/大空スバル】,138,337194,15819,89,2021-05-23,【 # 2 】 バイオハザードヴィレッジ : Resident   Evil   Village 【 ホロライブ / 大空 スバル 】
2021-05-22T10:56:48Z,aqbZ5jk5Tg0,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】バイオハザードヴィレッジ：Resident Evil Village【ホロライブ/大空スバル】,151,407668,19538,75,2021-05-22,【 # 生 スバル 】 バイオハザードヴィレッジ : Resident   Evil   Village 【 ホロライブ / 大空 スバル 】
2021-05-22T03:07:29Z,xAh1qYk6Wsc,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはようスバル：Free Talk【ホロライブ/大空スバル】,112,199250,13331,42,2021-05-22,【 # 生 スバル 】 おはよう スバル : Free   Talk 【 ホロライブ / 大空 スバル 】
2021-05-21T12:25:38Z,K6kJV6b3eqs,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】すいません！機材トラブルで来週になります！！！！：sausage legend【レート：1000↑】,143,93026,6242,68,2021-05-21,【 # 生 スバル 】 すいません ! 機材 トラブル で 来週 に なり ます !!!!: sausage   legend 【 レート : 1000 ↑ 】
2021-05-20T13:56:02Z,yp19LT9qJe4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】2年間でスバ友はどう変わった？！リスナー調査しゅば！！！！：subaru lisner Reserch!!!!!!【ホロライブ/大空スバル】,163,217835,13700,50,2021-05-20,【 # 生 スバル 】 2 年間 で スバ 友 は どう 変わっ た ?! リスナー 調査 し ゅば !!!!: subaru   lisner   Reserch !!!!!!【 ホロライブ / 大空 スバル 】
2021-05-18T14:03:08Z,ZF08XhEAvmg,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#holounggas #holobirds #ホロ鳥】鳥山（bird mountain）つくるしゅばあああああ！！！！/Reine&amp;Subaru Minecraft【大空スバル視点】,94,185453,13505,34,2021-05-18,【 # holounggas   # holobirds   # ホロ 鳥 】 鳥山 ( bird   mountain ) つくる し ゅばあああああ !!!!/ Reine & amp ; Subaru   Minecraft 【 大空 スバル 視点 】
2021-05-16T11:01:15Z,8J30L8myCKc,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#17】グラブル第一章！完結！！！！！：granblue fantasy story【ホロライブ/大空スバル】,174,227366,12585,98,2021-05-16,【 # 17 】 グラブル 第 一 章 ! 完結 !!!!!: granblue   fantasy   story 【 ホロライブ / 大空 スバル 】
2021-05-15T11:51:16Z,HaKW7hxQJYM,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#最終回】続きやるしゅばああああああ！！Duck May Cry！：DMC３【ホロライブ/大空スバル】,245,263108,13487,82,2021-05-15,【 # 最終 回 】 続き やる し ゅばああああああ !! Duck   May   Cry !: DMC 3 【 ホロライブ / 大空 スバル 】
2021-05-15T03:22:44Z,pWY59Zu13XI,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはようスバル/Free Talk【ホロライブ/大空スバル】,83,209951,13109,44,2021-05-15,【 # 生 スバル 】 おはよう スバル / Free   Talk 【 ホロライブ / 大空 スバル 】
2021-05-14T12:51:21Z,pGdQB7nPOi8,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【視聴者参加型】クイズバトルオンラインで勝負ちゅばあああああああああああああ！！！！！！！！！【】,54,148035,9844,50,2021-05-14,【 視聴 者 参加 型 】 クイズバトルオンライン で 勝負 ち ゅばあああああああああああああ !!!!!!!!!【】
2021-05-13T12:05:50Z,cNqbcr8jNHo,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】まいくらしゅばあああああああああああああ/マイクラ【ホロライブ/大空スバル】,273,255366,14625,122,2021-05-13,【 # 生 スバル 】 まい くらし ゅばあああああああああああああ / マイクラ 【 ホロライブ / 大空 スバル 】
2021-05-12T16:33:05Z,gLuIiQPfHQE,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】布教凸待ち/TOTUMACHI【ホロライブ/大空スバル】,120,354000,17477,93,2021-05-12,【 # 生 スバル 】 布教 凸 待ち / TOTUMACHI 【 ホロライブ / 大空 スバル 】
2021-05-09T08:20:43Z,P0Fq-bKdNro,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#２】リベンジやるしゅばああああああ！！Duck May Cry！：DMC３【ホロライブ/大空スバル】,211,276929,13851,127,2021-05-09,【 # 2 】 リベンジ やる し ゅばああああああ !! Duck   May   Cry !: DMC 3 【 ホロライブ / 大空 スバル 】
2021-05-08T06:44:21Z,ruYrvVFdij4,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#１】完全初見！悪魔退治やるしゅばああああああ！！！：DMC３【ホロライブ/大空スバル】,280,212085,11637,132,2021-05-08,【 # 1 】 完全 初 見 ! 悪魔 退治 やる し ゅばああああああ !!!: DMC 3 【 ホロライブ / 大空 スバル 】
2021-05-08T03:23:28Z,04Ic6Bl1glg,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おはようスバル：FREE TALK【ホロライブ/大空スバル】,77,165583,11213,45,2021-05-08,【 # 生 スバル 】 おはよう スバル : FREE   TALK 【 ホロライブ / 大空 スバル 】
2021-05-07T13:08:48Z,4FpQSnIs26k,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】おかころの間に割り込みたいスバル：モーリーオンライン：claw machine game【たのじみ！！】,104,153058,9937,39,2021-05-07,【 # 生 スバル 】 おか ころ の 間 に 割り込み たい スバル : モーリーオンライン : claw   machine   game 【 た の じみ !!】
2021-05-05T09:11:42Z,yzVS_fl9rSU,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】お兄様！お姉さま大集合！！！行くぞ！！日経賞！！！/ UMAMUSUME【ホロライブ】,69,206267,10087,124,2021-05-05,【 # 生 スバル 】 お 兄 様 ! お 姉 さま 大 集合 !!! 行く ぞ !! 日経 賞 !!!/   UMAMUSUME 【 ホロライブ 】
2021-05-04T11:04:58Z,VSLp--YmgPQ,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【】歯の痛みをモンスターにぶつけるモンハンゲリラしゅばああああああああああああああ【】,131,275708,12758,80,2021-05-04,【 】 歯 の 痛み を モンスター に ぶつける モンハンゲリラ し ゅばああああああああああああああ 【 】
2021-05-02T08:09:56Z,lsygJhiTx2s,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】らいすしゃわ～～～～～～わ～～～～！！！！：UMA MUSUME【ホロライブ/大空スバル】,118,369142,14458,129,2021-05-02,【 # 生 スバル 】 らい すし ゃわわ !!!!: UMA   MUSUME 【 ホロライブ / 大空 スバル 】
2021-05-01T09:32:47Z,ji4eRk5WuxA,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】完全初見！？ウマ娘しゅばああああああああああ/UMAMUSUME【ホロライブ/大空スバル】,123,352741,12743,173,2021-05-01,【 # 生 スバル 】 完全 初 見 !? ウマ 娘 し ゅばああああああああああ / UMAMUSUME 【 ホロライブ / 大空 スバル 】
2021-05-01T06:05:10Z,ESu_muCBq6k,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,【#生スバル】完全初見！？ウマ娘しゅばああああああああああ/UMAMUSUME【ホロライブ/大空スバル】,86,210022,10849,153,2021-05-01,【 # 生 スバル 】 完全 初 見 !? ウマ 娘 し ゅばああああああああああ / UMAMUSUME 【 ホロライブ / 大空 スバル 】
