timezone,videoId,channelId,channelTitle,title,thumbnailURL,commentCount,viewCount,likeCount,dislikeCount,date
2020-09-19T07:01:30Z,hbRb-vPABws,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【Fall Guys】1位取ったらHot Dog🌭をもぐもぐしちゃうなのらぞ【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/hbRb-vPABws/mqdefault.jpg,23,82447,6246,31,2020-09-19
2020-09-18T17:39:58Z,3CZp_CDcV_A,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【DreadOut】怖がってる演技なのらよ…？？【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/3CZp_CDcV_A/mqdefault.jpg,87,82876,6904,16,2020-09-18
2020-09-16T08:23:27Z,2kiYjw52e28,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【スーパーメトロイド #END】English only stream. 英語縛りでクリア耐久なのら…！【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/2kiYjw52e28/mqdefault.jpg,272,110414,9749,57,2020-09-16
2020-09-15T09:58:05Z,tB3C8By3mmg,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【リングフィットアドベンチャー】&quot;スポーツの秋&quot; 強化月間なのら！～RFA5回目【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/tB3C8By3mmg/mqdefault.jpg,54,46282,4607,8,2020-09-15
2020-09-14T04:08:51Z,X3xXm9yeNjw,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【リングフィットアドベンチャー】昼活！運動した後のご飯は美味しいのらね～RFA4回目【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/X3xXm9yeNjw/mqdefault.jpg,57,51692,5286,16,2020-09-14
2020-09-13T10:23:49Z,4iodA-_oKp4,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【トニー・ホーク プロ・スケーター 1+2】リベンジ！今度こそスペシャルトリックを決めてやるのら！Tony Hawk&#39;s Pro Skater【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/4iodA-_oKp4/mqdefault.jpg,52,79658,6424,21,2020-09-13
2020-09-11T07:45:36Z,HlseU0PCLik,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【Craftopia】#あんぽんたん姉妹 生活が始まるのら！【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/HlseU0PCLik/mqdefault.jpg,16,57779,4387,18,2020-09-11
2020-09-06T16:41:56Z,y9YK2n95EOI,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【リングフィットアドベンチャー】演技派「ルーナ姫」～RFA2回目【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/y9YK2n95EOI/mqdefault.jpg,68,66207,5293,19,2020-09-06
2020-08-30T18:30:57Z,p_aGspnX6ok,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【ゲリラ雑談】映画談義＆んなああああな１ヶ月間だったのら～【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/p_aGspnX6ok/mqdefault.jpg,40,88957,6241,21,2020-08-30
2020-08-27T16:59:42Z,EmU5iEPJtwI,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【スーパーメトロイド】紙プレイを魅せるのら！！！【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/EmU5iEPJtwI/mqdefault.jpg,30,64357,5107,24,2020-08-27
2020-08-27T09:21:10Z,0fP3HoepE0A,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【世界のアソビ大全51】#フェスティバルーナ で対決なのら～！！！【姫森ルーナ/夏色まつり/ホロライブ】,https://i.ytimg.com/vi/0fP3HoepE0A/mqdefault.jpg,75,114111,6574,35,2020-08-27
2020-08-26T16:17:47Z,QCLy3moECvo,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【アソビ大全バトル】ふわふわ３人組の白熱バトル開催なのら！ #ふんわり組【姫森ルーナ/夜空メル/白銀ノエル/ホロライブ】,https://i.ytimg.com/vi/QCLy3moECvo/mqdefault.jpg,38,104739,6712,26,2020-08-26
2020-08-24T06:47:51Z,PKPkT5vdckU,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【Fall Guys】んなあああ！！！！ #ロボと姫【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/PKPkT5vdckU/mqdefault.jpg,41,100883,6482,35,2020-08-24
2020-08-23T15:04:32Z,-hNkGUNLGiw,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【ボーリング対決】ルーナ vs はあちゃま！！！ #ちゃまなのら【ホロライブ】,https://i.ytimg.com/vi/-hNkGUNLGiw/mqdefault.jpg,73,99306,6491,27,2020-08-23
2020-08-20T16:32:05Z,tPO8zLBjJMY,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,【裏話雑談】打ち身と戦いながら真相を語るのら…！【姫森ルーナ/ホロライブ】,https://i.ytimg.com/vi/tPO8zLBjJMY/mqdefault.jpg,66,77826,5726,18,2020-08-20
